Chara,Dialog
Nene,悴んだ心 ふるえる眼差し世界で
misono_mika,僕は ひとりぼっちだった
Nene,散ることしか知らない春は
Nene,毎年 冷たくあしらう
Nene,暗がりの中 一方通行に ただただ
Nene,言葉を書き殴って 期待するだけ
Nene,むなしいと分かっていても
Nene,救いを求め続けた
Nene,（せつなくて いとおしい）
Nene,今ならば 分かる気がする
misono_mika,（しあわせで くるおしい）
Nene,あの日泣けなかった僕を
Nene,光は やさしく連れ立つよ
Nene,雲間をぬって きらりきらり
Nene,心満たしては 溢れ
misono_mika,いつしか頬を きらりきらり
Nene,熱く 熱く濡らしてゆく
Nene,君の手は どうしてこんなにも温かいの？
Nene,ねぇお願い どうかこのまま 離さないでいて
Nene,縁を結んでは ほどきほどかれ
Nene,誰しもがそれを喜び悲しみながら
misono_mika,愛を数えてゆく
Nene,鼓動を確かめるように
Nene,（うれしくて さびしくて）
Nene,今だから 分かる気がした
Nene,（たいせつで こわくって）
Nene,あの日泣けなかった僕を
Nene,光は やさしく抱きしめた
Nene,照らされた世界 咲き誇る大切な人
misono_mika,あたたかさを知った春は 僕のため 君のための
Nene,涙を流すよ
Nene,Ah なんて眩しいんだろう
Nene,Ah なんて美しいんだろう
misono_mika,雲間をぬって きらりきらり
Nene,心満たしては 溢れ
Nene,いつしか頬を きらりきらり
Nene,熱く 熱く濡らしてゆく
misono_mika,君の手は どうしてこんなにも温かいの？
Nene,ねぇお願い どうかこのまま 離さないでいて
Nene,ずっと ずっと 離さないでいて
